customerName, irrigatableSqft, premisesKey, meterType, meterSerial
Sonrisa Owners Association Inc, 38672.62, 5637168360, Water, 22112512
Sonrisa Owners Association Inc, 38672.62, 5637168360, Water, 8418101
Sonrisa Owners Association Inc, 38672.62, 5637168360, Irrigation, 8415570
